Code,Name,Beta,Sharpe,Treynor,Drawdown,HHI,StdDev
143163,Navi Aggressive Hybrid Fund - Direct Plan - Growth,-0.575070566,0.930246616,-1.601920036,-0.287055741,0.002173909,0.062382619
152056,DSP Multi Asset Allocation Fund - Direct - Growth,-1.348789715,2.128043674,-1.602106303,-0.17737893,0.009504319,0.063966821
150568,Sundaram Flexicap Fund Regular Growth,-0.38315449,0.64210481,-1.602594826,-0.199963662,0.004722181,0.060240901
146549,Mahindra Manulife Large Cap Fund - Direct Plan -Growth,-0.753079689,1.023933458,-1.603916206,-0.344538461,0.002218773,0.074310572
150752,Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund-Direct Plan-Growth Option,-0.097233459,0.469803398,-1.606597359,-0.067122356,0.004959328,0.020946254
135343,Groww Value Fund (formerly known as Indiabulls Value Fund) - Regular Plan - Growth Option,-0.777314137,1.053825298,-1.607314253,-0.355259922,0.002212245,0.074684155
145605,Groww Aggressive Hybrid Fund (formerly known as Indiabulls Equity Hybrid Fund) - Regular Plan - Growth option,-0.555798518,0.956116942,-1.608158533,-0.303927914,0.002154198,0.058889106
151745,WhiteOak Capital Multi Asset Allocation Fund Direct Plan Growth,-0.515136428,1.019139044,-1.608618577,-0.163673408,0.006808531,0.051220243
150589,WhiteOak Capital ELSS Tax Saver Fund Regular Plan Growth,-0.709346044,0.887824131,-1.609133663,-0.253670221,0.005054594,0.080988444
146950,ICICI Prudential Bharat Consumption Fund - Growth Option,-0.722251073,0.958475636,-1.611642646,-0.281818182,0.002255874,0.076502495
100414,Tata Hybrid Equity Fund- Regular Plan - Growth Option,-0.568967836,0.925382781,-1.612156407,-0.292570576,0.002169501,0.062441482
134923,Nippon India US Equity Opportunites Fund- Direct Plan- Growth Plan- Growth Option,-1.058090476,1.259723966,-1.617677032,-0.334116326,0.002196749,0.085593141
